Data,Età,Infected,Removed
2021-06-12,40-59,0.3198558196005159,0.33514610069799794
2021-06-12,60-79,0.2031839207839904,0.18976850593687206
2021-06-12,80-89,0.0592682806903412,0.06010394703742356
2021-06-12,90+,0.018684448411632772,0.02087275504606342
2021-06-13,0-19,0.1594547616869454,0.15075475421718004
2021-06-13,20-39,0.23955950965145,0.24340224132248425
2021-06-13,40-59,0.3197747994998933,0.3351346454065911
2021-06-13,60-79,0.20308831152989967,0.18976010490394657
2021-06-13,80-89,0.05942960387887659,0.06008103002108275
2021-06-13,90+,0.018693013752935077,0.020867224128715285
2021-06-14,0-19,0.15913633625799423,0.1508051449588759
2021-06-14,20-39,0.23984776929067703,0.24340583063396576
2021-06-14,40-59,0.3197919104416916,0.33511481085933825
2021-06-14,60-79,0.20289882872894263,0.18975446577739896
2021-06-14,80-89,0.059591723989764325,0.06005923688069531
2021-06-14,90+,0.018733431290930226,0.020860510889725844
2021-06-15,0-19,0.1586984058329214,0.15087056115595124
2021-06-15,20-39,0.24044967251606525,0.24339231132802777
2021-06-15,40-59,0.32021981586752346,0.33507610166775675
2021-06-15,60-79,0.2022908428077113,0.18976666119112237
2021-06-15,80-89,0.05960362086010875,0.06004085495081584
2021-06-15,90+,0.0187376421156698,0.020853509706326066
2021-06-16,0-19,0.15523793951913606,0.15114189345243048
2021-06-16,20-39,0.23955462858464568,0.24346445595417399
2021-06-16,40-59,0.3203300406369513,0.33502929971458006
2021-06-16,60-79,0.20509098449893723,0.1895875119909305
2021-06-16,80-89,0.060672284323069745,0.059956286037191296
2021-06-16,90+,0.019114122437259976,0.02082055285069372
2021-06-17,0-19,0.15621442024844984,0.15111405741912598
2021-06-17,20-39,0.23555753073878907,0.24370470750312997
2021-06-17,40-59,0.3199923814360993,0.33498453981058235
2021-06-17,60-79,0.20686940511713542,0.18952832840942177
2021-06-17,80-89,0.06178232069921486,0.059884044198291984
2021-06-17,90+,0.019583941760311516,0.02078432265944799
2021-06-18,0-19,0.15536614896823253,0.15120451101969673
2021-06-18,20-39,0.23508532007003302,0.24374807610047053
2021-06-18,40-59,0.3191554227676977,0.3349878869286768
2021-06-18,60-79,0.20779073717585778,0.18947936780161748
2021-06-18,80-89,0.06268564410337708,0.05982028279823941
2021-06-18,90+,0.01991672691480188,0.020759875351299056
2021-06-19,0-19,0.15483695246295573,0.15124832100824392
2021-06-19,20-39,0.23500546933001806,0.24377437346768596
2021-06-19,40-59,0.3193605496566842,0.3349632244630971
2021-06-19,60-79,0.20786529193921796,0.18946392102621973
2021-06-19,80-89,0.06290827779803455,0.059800068907319655
2021-06-19,90+,0.02002345881308949,0.0207500911274336
2021-06-20,0-19,0.1544773283609788,0.1512927596030309
2021-06-20,20-39,0.2350542157495206,0.2437879694096341
2021-06-20,40-59,0.31927641636988663,0.334946241791047
2021-06-20,60-79,0.20807889783402114,0.18944438247988168
2021-06-20,80-89,0.06304403538384044,0.0597836596703269
2021-06-20,90+,0.0200691063017524,0.020744987046079428
2021-06-21,0-19,0.15415783651218895,0.15132467887441825
